i,j,H_ij
43,42,12233000000.0
43,43,-25276000000.0
43,44,13043000000.0
43,127,-6116400000.0
43,128,405320000.0
43,129,6521700000.0
44,43,12222000000.0
44,44,-25266000000.0
44,45,13043000000.0
44,128,-6111100000.0
44,129,410600000.0
44,130,6521700000.0
45,44,12180000000.0
45,45,-25223000000.0
45,46,13043000000.0
45,129,-6089900000.0
45,130,431830000.0
45,131,6521700000.0
46,45,12130000000.0
46,46,-25173000000.0
46,47,13043000000.0
46,130,-6064800000.0
46,131,456920000.0
46,132,6521700000.0
47,46,12136000000.0
47,47,-25179000000.0
47,48,13043000000.0
47,131,-6067800000.0
47,132,453950000.0
47,133,6521700000.0
48,47,12178000000.0
48,48,-25222000000.0
48,49,13043000000.0
48,132,-6089100000.0
48,133,432640000.0
48,134,6521700000.0
49,48,12241000000.0
49,49,-25285000000.0
49,50,13043000000.0
49,133,-6120600000.0
49,134,401150000.0
49,135,6521700000.0
50,49,12259000000.0
50,50,-25303000000.0
50,51,13043000000.0
50,134,-6129700000.0
50,135,392040000.0
50,136,6521700000.0
51,50,12238000000.0
51,51,-25281000000.0
51,52,13043000000.0
51,135,-6119000000.0
51,136,402760000.0
51,137,6521700000.0
52,51,12251000000.0
52,52,-25295000000.0
52,53,13043000000.0
52,136,-6125700000.0
52,137,396060000.0
52,138,6521700000.0
53,52,12311000000.0
53,53,-25355000000.0
53,54,13043000000.0
53,137,-6155600000.0
53,138,366120000.0
53,139,6521700000.0
54,53,12255000000.0
54,54,-25299000000.0
54,55,13043000000.0
54,138,-6127600000.0
54,139,394160000.0
54,140,6521700000.0
55,54,12075000000.0
55,55,-25118000000.0
55,56,13043000000.0
55,139,-6037400000.0
55,140,484380000.0
55,141,6521700000.0
56,55,11972000000.0
56,56,-25015000000.0
56,57,13043000000.0
56,140,-5985900000.0
56,141,535810000.0
56,142,6521700000.0
57,56,12010000000.0
57,57,-25053000000.0
57,58,13043000000.0
57,141,-6004900000.0
57,142,516870000.0
57,143,6521700000.0
58,57,12091000000.0
58,58,-25135000000.0
58,59,13043000000.0
58,142,-6045700000.0
58,143,476020000.0
58,144,6521700000.0
59,58,12203000000.0
59,59,-25247000000.0
59,60,13043000000.0
59,143,-6101600000.0
59,144,420120000.0
59,145,6521700000.0
60,59,12408000000.0
60,60,-25452000000.0
60,61,13043000000.0
60,144,-6204100000.0
60,145,317640000.0
60,146,6521700000.0
61,60,12606000000.0
61,61,-25649000000.0
61,62,13043000000.0
61,145,-6302900000.0
61,146,218810000.0
61,147,6521700000.0
62,61,12723000000.0
62,62,-25766000000.0
62,63,13043000000.0
62,146,-6361400000.0
62,147,160370000.0
62,148,6521700000.0
63,62,12759000000.0
63,63,-25802000000.0
63,64,13043000000.0
63,147,-6379500000.0
63,148,142230000.0
63,149,6521700000.0
64,63,12908000000.0
64,64,-25951000000.0
64,65,13043000000.0
64,148,-6453900000.0
64,149,67865000.0
64,150,6521700000.0
65,64,12941000000.0
65,65,-25984000000.0
65,66,13043000000.0
65,149,-6470500000.0
65,150,51243000.0
65,151,6521700000.0
66,65,12950000000.0
66,66,-25993000000.0
66,67,13043000000.0
66,150,-6474800000.0
66,151,46982000.0
66,152,6521700000.0
67,66,13035000000.0
67,67,-26079000000.0
67,68,13043000000.0
67,151,-6517600000.0
67,152,4089800.0
67,153,6521700000.0
68,67,12954000000.0
68,68,-25997000000.0
68,69,13043000000.0
68,152,-6477000000.0
68,153,44774000.0
68,154,6521700000.0
69,68,13043000000.0
69,69,-26087000000.0
69,70,13043000000.0
69,153,-6521700000.0
69,155,6521700000.0
70,69,13117000000.0
70,70,-26161000000.0
70,71,13043000000.0
70,154,-6558600000.0
70,155,-36853000.0
70,156,6521700000.0
71,70,13076000000.0
71,71,-26120000000.0
71,72,13043000000.0
71,155,-6538100000.0
71,156,-16386000.0
71,157,6521700000.0
72,71,13134000000.0
72,72,-26177000000.0
72,73,13043000000.0
72,156,-6567000000.0
72,157,-45268000.0
72,158,6521700000.0
73,72,13147000000.0
73,73,-26190000000.0
73,74,13043000000.0
73,157,-6573400000.0
73,158,-51656000.0
73,159,6521700000.0
74,73,13151000000.0
74,74,-26195000000.0
74,75,13043000000.0
74,158,-6575700000.0
74,159,-53950000.0
74,160,6521700000.0
75,74,13148000000.0
75,75,-26191000000.0
75,76,13043000000.0
75,159,-6573800000.0
75,160,-52078000.0
75,161,6521700000.0
76,75,13165000000.0
76,76,-26208000000.0
76,77,13043000000.0
76,160,-6582500000.0
76,161,-60711000.0
76,162,6521700000.0
77,76,13246000000.0
77,77,-26290000000.0
77,78,13043000000.0
77,161,-6623200000.0
77,162,-101420000.0
77,163,6521700000.0
78,77,13252000000.0
78,78,-26296000000.0
78,79,13043000000.0
78,162,-6626100000.0
78,163,-104370000.0
78,164,6521700000.0
79,78,13159000000.0
79,79,-26202000000.0
79,80,13043000000.0
79,163,-6579400000.0
79,164,-57662000.0
79,165,6521700000.0
80,79,13125000000.0
80,80,-26168000000.0
80,81,13043000000.0
80,164,-6562400000.0
80,165,-40677000.0
80,166,6521700000.0
81,80,12891000000.0
81,81,-25934000000.0
81,82,13043000000.0
81,165,-6445500000.0
81,166,76277000.0
81,167,6521700000.0
82,81,13386000000.0
82,82,-26429000000.0
82,83,13043000000.0
82,166,-6692900000.0
82,167,-171180000.0
82,168,6521700000.0
83,82,13257000000.0
83,83,-26301000000.0
83,84,13043000000.0
83,167,-6628500000.0
83,168,-106780000.0
83,169,6521700000.0
84,83,13809000000.0
84,84,-26853000000.0
84,85,13043000000.0
84,168,-6904600000.0
84,169,-382850000.0
84,170,6521700000.0
85,84,38405000000.0
85,85,-38405000000.0
85,169,-19203000000.0
85,170,-19203000000.0
86,1,3980600000.0
86,2,-3980600000.0
86,86,-241120000000.0
86,87,237140000000.0
87,1,7318100000.0
87,2,-1920900000.0
87,3,-5397200000.0
87,86,435970000000.0
87,87,-685120000000.0
87,88,236430000000.0
88,2,10753000000.0
88,3,-3134700000.0
88,4,-7618100000.0
88,87,471040000000.0
88,88,-724730000000.0
88,89,235320000000.0
89,3,11821000000.0
89,4,-2331500000.0
89,5,-9489700000.0
89,88,365160000000.0
89,89,-620850000000.0
89,90,234390000000.0
90,4,13739000000.0
90,5,-2320700000.0
90,6,-11418000000.0
90,89,339340000000.0
90,90,-597920000000.0
90,91,233420000000.0
91,5,14213000000.0
91,6,-1473600000.0
91,7,-12739000000.0
91,90,290550000000.0
91,91,-550260000000.0
91,92,232760000000.0
92,6,15098000000.0
92,7,-1229400000.0
92,8,-13869000000.0
92,91,275860000000.0
92,92,-537020000000.0
92,93,232200000000.0
93,7,16460000000.0
93,8,-1351200000.0
93,9,-15109000000.0
93,92,275590000000.0
93,93,-538730000000.0
93,94,231580000000.0
94,8,17314000000.0
94,9,-1140100000.0
94,10,-16174000000.0
94,93,265380000000.0
94,94,-529910000000.0
94,95,231040000000.0
95,9,18116000000.0
95,10,-998640000.0
95,11,-17118000000.0
95,94,258790000000.0
95,95,-524590000000.0
95,96,230570000000.0
96,10,18455000000.0
96,11,-681260000.0
96,12,-17774000000.0
96,95,248590000000.0
96,96,-515060000000.0
96,97,230240000000.0
97,11,18130000000.0
97,12,-179140000.0
97,13,-17951000000.0
97,96,234860000000.0
97,97,-501100000000.0
97,98,230150000000.0
98,12,17744000000.0
98,13,103180000.0
98,14,-17847000000.0
98,97,227500000000.0
98,98,-493300000000.0
98,99,230210000000.0
99,13,17700000000.0
99,14,73278000.0
99,15,-17774000000.0
99,98,228310000000.0
99,99,-494030000000.0
99,100,230240000000.0
100,14,17803000000.0
100,15,-14694000.0
100,16,-17788000000.0
100,99,230620000000.0
100,100,-496450000000.0
100,101,230240000000.0
101,15,17847000000.0
101,16,-29459000.0
101,17,-17818000000.0
101,100,231000000000.0
101,101,-496880000000.0
101,102,230220000000.0
102,16,17818000000.0
102,18,-17818000000.0
102,101,230220000000.0
102,102,-496080000000.0
102,103,230220000000.0
103,17,17818000000.0
103,19,-17818000000.0
103,102,230220000000.0
103,103,-496080000000.0
103,104,230220000000.0
104,18,17847000000.0
104,19,-14748000.0
104,20,-17832000000.0
104,103,230600000000.0
104,104,-496500000000.0
104,105,230210000000.0
105,19,17862000000.0
105,20,-14764000.0
105,21,-17847000000.0
105,104,230600000000.0
105,105,-496510000000.0
105,106,230210000000.0
106,20,17730000000.0
106,21,58705000.0
106,22,-17788000000.0
106,105,228690000000.0
106,106,-494440000000.0
106,107,230240000000.0
107,21,17469000000.0
107,22,159040000.0
107,23,-17628000000.0
107,106,226100000000.0
107,107,-491510000000.0
107,108,230320000000.0
108,22,17116000000.0
108,23,254190000.0
108,24,-17370000000.0
108,107,223620000000.0
108,108,-488560000000.0
108,109,230450000000.0
109,23,16679000000.0
109,24,341980000.0
109,25,-17021000000.0
109,108,221280000000.0
109,109,-485600000000.0
109,110,230620000000.0
110,24,16246000000.0
110,25,382790000.0
110,26,-16629000000.0
110,109,220120000000.0
110,110,-483820000000.0
110,111,230820000000.0
111,25,15931000000.0
111,26,345270000.0
111,27,-16276000000.0
111,110,221130000000.0
111,111,-484330000000.0
111,112,230990000000.0
112,26,15698000000.0
112,27,286490000.0
112,28,-15985000000.0
112,111,222790000000.0
112,112,-485610000000.0
112,113,231140000000.0
113,27,15398000000.0
113,28,290640000.0
113,29,-15688000000.0
113,112,222650000000.0
113,113,-485030000000.0
113,114,231290000000.0
114,28,15048000000.0
114,29,316730000.0
114,30,-15365000000.0
114,113,221850000000.0
114,114,-483710000000.0
114,115,231450000000.0
115,29,14633000000.0
115,30,361570000.0
115,31,-14995000000.0
115,114,220420000000.0
115,115,-481680000000.0
115,116,231630000000.0
116,30,14225000000.0
116,31,379960000.0
116,32,-14604000000.0
116,115,219740000000.0
116,116,-480390000000.0
116,117,231830000000.0
117,31,13843000000.0
117,32,375400000.0
117,33,-14219000000.0
117,116,219750000000.0
117,117,-479830000000.0
117,118,232020000000.0
118,32,13488000000.0
118,33,360850000.0
118,34,-13848000000.0
118,117,220090000000.0
118,118,-479630000000.0
118,119,232210000000.0
119,33,13089000000.0
119,34,374550000.0
119,35,-13463000000.0
119,118,219470000000.0
119,119,-478420000000.0
119,120,232400000000.0
120,34,12645000000.0
120,35,402840000.0
120,36,-13047000000.0
120,119,218270000000.0
120,120,-476570000000.0
120,121,232610000000.0
121,35,12147000000.0
121,36,442070000.0
121,37,-12589000000.0
121,120,216560000000.0
121,121,-474130000000.0
121,122,232840000000.0
122,36,11703000000.0
122,37,434870000.0
122,38,-12138000000.0
122,121,216450000000.0
122,122,-473350000000.0
122,123,233060000000.0
123,37,11344000000.0
123,38,390210000.0
123,39,-11735000000.0
123,122,217820000000.0
123,123,-474160000000.0
123,124,233260000000.0
124,38,10951000000.0
124,39,385240000.0
124,40,-11336000000.0
124,123,217680000000.0
124,124,-473430000000.0
124,125,233460000000.0
125,39,10428000000.0
125,40,444570000.0
125,41,-10872000000.0
125,124,214760000000.0
125,125,-469750000000.0
125,126,233690000000.0
126,40,9768900000.0
126,41,536940000.0
126,42,-10306000000.0
126,125,209980000000.0
126,126,-464030000000.0
126,127,233980000000.0
