1	51.20
2	43.97
3	37.01
4	33.16
5	30.23
6	28.62
7	27.43
8	26.28
9	25.40
10	24.69
11	24.23
12	24.11
13	24.18
14	24.23
15	24.22
16	24.20
17	24.20
18	24.20
19	24.19
20	24.18
21	24.22
22	24.33
23	24.51
24	24.76
25	25.05
26	25.32
27	25.55
28	25.79
29	26.06
30	26.38
31	26.73
32	27.09
33	27.45
34	27.84
35	28.28
36	28.79
37	29.32
38	29.82
39	30.34
40	30.98
41	31.82
42	32.82
43	33.89
44	35.01
45	36.23
46	37.57
47	38.95
48	40.31
49	41.61
50	42.92
51	44.31
52	45.72
53	47.06
54	48.55
55	50.46
56	52.67
57	54.89
58	57.01
59	58.94
60	60.43
61	61.47
62	62.24
63	62.93
64	63.26
65	63.51
66	63.74
67	63.76
68	63.98
69	63.98
70	63.80
71	63.72
72	63.50
73	63.25
74	62.99
75	62.74
76	62.45
77	61.97
78	61.48
79	61.21
80	61.02
81	61.38
82	60.59
83	60.10
84	58.41
85	34.04
