i,j,"H(i, j)"
44,128,-6111141493.037683
44,129,410597637.39710003
44,130,6521739130.434782
45,44,12179822862.243431
45,45,-25223301123.112995
45,46,13043478260.869564
45,129,-6089911431.121716
45,130,431827699.3130664
45,131,6521739130.434782
46,45,12129633999.915237
46,46,-25173112260.7848
46,47,13043478260.869564
46,130,-6064816999.957619
46,131,456922130.4771635
46,132,6521739130.434782
47,46,12135589703.570366
47,47,-25179067964.43993
47,48,13043478260.869564
47,131,-6067794851.785183
47,132,453944278.6495986
47,133,6521739130.434782
48,47,12178190025.972038
48,48,-25221668286.841602
48,49,13043478260.869564
48,132,-6089095012.986019
48,133,432644117.44876266
48,134,6521739130.434782
49,48,12241188438.20631
49,49,-25284666699.075874
49,50,13043478260.869564
49,133,-6120594219.103155
49,134,401144911.3316272
49,135,6521739130.434782
50,49,12259405878.65811
50,50,-25302884139.527676
50,51,13043478260.869564
50,134,-6129702939.329055
50,135,392036191.1057266
50,136,6521739130.434782
51,50,12237968900.698095
51,51,-25281447161.567657
51,52,13043478260.869564
51,135,-6118984450.349048
51,136,402754680.0857349
51,137,6521739130.434782
52,51,12251364901.28053
52,52,-25294843162.150097
52,53,13043478260.869564
52,136,-6125682450.640265
52,137,396056679.7945165
52,138,6521739130.434782
53,52,12311246201.73451
53,53,-25354724462.604073
53,54,13043478260.869564
53,137,-6155623100.867255
53,138,366116029.56752753
53,139,6521739130.434782
54,53,12255154645.23665
54,54,-25298632906.106216
54,55,13043478260.869564
54,138,-6127577322.618325
54,139,394161807.81645703
54,140,6521739130.434782
55,54,12074729067.054478
55,55,-25118207327.92404
55,56,13043478260.869564
55,139,-6037364533.527239
55,140,484374596.9075431
55,141,6521739130.434782
56,55,11971850209.330187
56,56,-25015328470.19975
56,57,13043478260.869564
56,140,-5985925104.665093
56,141,535814025.76968914
56,142,6521739130.434782
57,56,12009739680.092226
57,57,-25053217940.96179
57,58,13043478260.869564
57,141,-6004869840.046113
57,142,516869290.38866884
57,143,6521739130.434782
58,57,12091433682.58521
58,58,-25134911943.454773
58,59,13043478260.869564
58,142,-6045716841.292605
58,143,476022289.1421767
58,144,6521739130.434782
59,58,12203242391.148277
59,59,-25246720652.01784
59,60,13043478260.869564
59,143,-6101621195.574139
59,144,420117934.860644
59,145,6521739130.434782
60,59,12408191664.443804
60,60,-25451669925.313366
60,61,13043478260.869564
60,144,-6204095832.221902
60,145,317643298.21288097
60,146,6521739130.434782
61,60,12605851332.585835
61,61,-25649329593.4554
61,62,13043478260.869564
61,145,-6302925666.292917
61,146,218813464.14186507
61,147,6521739130.434782
62,61,12722740729.073492
62,62,-25766218989.943058
62,63,13043478260.869564
62,146,-6361370364.536746
62,147,160368765.89803568
62,148,6521739130.434782
63,62,12759014270.311954
63,63,-25802492531.18152
63,64,13043478260.869564
63,147,-6379507135.155977
63,148,142231995.27880564
63,149,6521739130.434782
64,63,12907748862.588161
64,64,-25951227123.457726
64,65,13043478260.869564
64,148,-6453874431.294081
64,149,67864699.14070049
64,150,6521739130.434782
65,64,12940991989.688566
65,65,-25984470250.55813
65,66,13043478260.869564
65,149,-6470495994.844283
65,150,51243135.59049882
65,151,6521739130.434782
66,65,12949515682.072676
66,66,-25992993942.942238
66,67,13043478260.869564
66,150,-6474757841.036338
66,151,46981289.39844438
66,152,6521739130.434782
67,66,13035296684.617397
67,67,-26078774945.48696
67,68,13043478260.869564
67,151,-6517648342.308699
67,152,4090788.1260837903
67,153,6521739130.434782
68,67,12953930539.38092
68,68,-25997408800.250484
68,69,13043478260.869564
68,152,-6476965269.69046
68,153,44773860.74432159
68,154,6521739130.434782
69,68,13043478260.869564
69,69,-26086956521.73913
69,70,13043478260.869564
69,153,-6521739130.434782
69,155,6521739130.434782
70,69,13117181648.56016
70,70,-26160659909.42972
70,71,13043478260.869564
70,154,-6558590824.28008
70,155,-36851693.84529722
70,156,6521739130.434782
71,70,13076250806.399422
71,71,-26119729067.268986
71,72,13043478260.869564
71,155,-6538125403.199711
71,156,-16386272.7649296
71,157,6521739130.434782
72,71,13134014831.507923
72,72,-26177493092.377483
72,73,13043478260.869564
72,156,-6567007415.753962
72,157,-45268285.31917866
72,158,6521739130.434782
73,72,13146792536.647362
73,73,-26190270797.516922
73,74,13043478260.869564
73,157,-6573396268.323681
73,158,-51657137.888898
73,159,6521739130.434782
74,73,13151378035.06837
74,74,-26194856295.937935
74,75,13043478260.869564
74,158,-6575689017.534185
74,159,-53949887.099403106
74,160,6521739130.434782
75,74,13147634026.144308
75,75,-26191112287.013866
75,76,13043478260.869564
75,159,-6573817013.072154
75,160,-52077882.63737153
75,161,6521739130.434782
76,75,13164899922.165598
76,76,-26208378183.035164
76,77,13043478260.869564
76,160,-6582449961.082799
76,161,-60710830.64801756
76,162,6521739130.434782
77,76,13246322118.282278
77,77,-26289800379.151844
77,78,13043478260.869564
77,161,-6623161059.141139
77,162,-101421928.70635585
77,163,6521739130.434782
78,77,13252221719.697102
78,78,-26295699980.56667
78,79,13043478260.869564
78,162,-6626110859.848551
78,163,-104371729.41376871
78,164,6521739130.434782
79,78,13158802763.515276
79,79,-26202281024.38484
79,80,13043478260.869564
79,163,-6579401381.757638
79,164,-57662251.32285563
79,165,6521739130.434782
80,79,13124832544.420591
80,80,-26168310805.290154
80,81,13043478260.869564
80,164,-6562416272.210296
80,165,-40677141.77551362
80,166,6521739130.434782
81,80,12890924271.526655
81,81,-25934402532.396217
81,82,13043478260.869564
81,165,-6445462135.763328
81,166,76276994.6714539
81,167,6521739130.434782
82,81,13385829282.978378
82,82,-26429307543.84794
82,83,13043478260.869564
82,166,-6692914641.489189
82,167,-171175511.05440673
82,168,6521739130.434782
83,82,13257034292.480532
83,83,-26300512553.350098
83,84,13043478260.869564
83,167,-6628517146.240266
83,168,-106778015.80548409
83,169,6521739130.434782
84,83,13809181896.131605
84,84,-26852660157.001175
84,85,13043478260.869564
84,168,-6904590948.065803
84,169,-382851817.6310213
84,170,6521739130.434782
85,84,38405084797.20048
85,85,-38405084797.20048
85,169,-19202542398.60024
85,170,-19202542398.60024
86,1,3980553668.4782596
86,2,-3980553668.4782596
86,86,-241120711616.8478
86,87,237140157948.36954
87,1,7318085263.378322
87,2,-1920860871.0283718
87,3,-5397224392.349949
87,86,435972490204.00916
87,87,-685119622446.1711
87,88,236431822586.4337
88,2,10752761090.131935
88,3,-3134686238.7819233
88,4,-7618074851.350012
88,87,471037466216.8654
88,88,-724729699515.281
88,89,235321397356.93365
89,3,11821252349.770935
89,4,-2331511297.600324
89,5,-9489741052.170612
89,88,365157034518.2505
89,89,-620853592176.7153
89,90,234385564256.52338
90,4,13739149863.38227
90,5,-2320700998.476712
90,6,-11418448864.905558
90,89,339341018414.53424
90,90,-597919827492.9779
90,91,233421210350.15588
91,5,14212850319.529533
91,6,-1473591918.896292
91,7,-12739258400.63324
91,90,290545656714.08496
91,91,-550258571016.5398
91,92,232760805582.29205
92,6,15098000454.994965
92,7,-1229427019.7400227
92,8,-13868573435.254944
92,91,275857717778.2779
92,92,-537020439733.50903
92,93,232196148064.9812
93,7,16460141994.110033
93,8,-1351247659.9756312
93,9,-15108894334.134403
93,92,275585775673.1653
93,93,-538730799616.95123
93,94,231575987615.54147
94,8,17314073666.660194
94,9,-1140128275.2911525
94,10,-16173945391.369043
94,93,265375057918.4775
94,94,-529906539063.4309
94,95,231043462086.92416
95,9,18116173829.68081
95,10,-998638778.6927042
95,11,-17117535050.988106
95,94,258788033475.8379
95,95,-524593409613.6214
95,96,230571667257.11462
96,10,18454909890.239803
96,11,-681261786.6847309
96,12,-17773648103.555077
96,95,248585986813.95877
96,96,-515058155538.58484
96,97,230243610730.83115
97,11,18130149799.97537
97,12,-179135828.34965175
97,13,-17951013971.625717
97,96,234861809388.59885
97,97,-501097900956.9957
97,98,230154927796.7958
98,12,17744045414.52265
98,13,103184262.63613637
98,14,-17847229677.158787
98,97,227501326535.5213
98,98,-493299421571.232
98,99,230206819944.02927
99,13,17700369896.248096
99,14,73278207.30698086
99,15,-17773648103.555077
99,98,228312513446.45584
99,99,-494030142177.09015
99,100,230243610730.83115
100,14,17803019959.476784
100,15,-14691990.263161864
100,16,-17788327969.213623
100,99,230624099987.84116
100,100,-496451718714.5335
100,101,230236270798.00186
101,15,17847205297.37109
101,16,-29462983.499675695
101,17,-17817742313.871414
101,100,230998326483.7856
101,101,-496884837720.7011
101,102,230221563625.67297
102,16,17817742313.871414
102,18,-17817742313.871414
102,101,230221563625.67297
102,102,-496078611879.08875
102,103,230221563625.67297
103,17,17817742313.871414
103,19,-17817742313.871414
