1.0000	50.500
2.0000	50.500
3.0000	35.436
4.0000	33.427
5.0000	32.084
6.0000	30.563
7.0000	29.560
8.0000	28.368
9.0000	27.407
10.000	27.002
11.000	26.526
12.000	26.087
13.000	26.102
14.000	26.155
15.000	26.129
16.000	26.115
17.000	26.220
18.000	26.493
19.000	26.808
20.000	26.966
21.000	26.982
22.000	26.996
23.000	27.001
24.000	26.970
25.000	27.163
26.000	27.712
27.000	27.991
28.000	28.181
29.000	28.564
30.000	28.906
31.000	29.014
32.000	29.309
33.000	29.778
34.000	29.974
35.000	30.305
36.000	30.735
37.000	30.967
38.000	31.071
39.000	31.532
40.000	32.043
41.000	32.617
42.000	33.198
43.000	34.133
44.000	34.858
45.000	35.943
46.000	36.882
47.000	37.971
48.000	39.266
49.000	40.424
50.000	41.972
51.000	43.484
52.000	44.976
53.000	46.742
54.000	48.706
55.000	50.386
56.000	51.978
57.000	53.391
58.000	54.719
59.000	56.077
60.000	57.262
61.000	58.274
62.000	59.225
63.000	60.092
64.000	60.841
65.000	61.444
66.000	61.898
67.000	62.229
68.000	62.475
69.000	62.662
70.000	62.815
71.000	62.950
72.000	63.079
73.000	63.214
74.000	63.364
75.000	63.539
76.000	63.730
77.000	63.918
78.000	64.086
79.000	64.218
80.000	64.290
81.000	64.302
82.000	64.300
83.000	64.300
84.000	64.300
