0.000000000000000000e+00,2.450000000000000000e+01
1.000000000000000000e+00,2.200000000000000000e+01
2.000000000000000000e+00,1.900000000000000000e+01
3.000000000000000000e+00,1.700000000000000000e+01
4.000000000000000000e+00,1.580000000000000071e+01
5.000000000000000000e+00,1.519999999999999929e+01
6.000000000000000000e+00,1.480000000000000071e+01
7.000000000000000000e+00,1.430000000000000071e+01
8.000000000000000000e+00,1.400000000000000000e+01
9.000000000000000000e+00,1.380000000000000071e+01
1.000000000000000000e+01,1.369999999999999929e+01
1.200000000000000000e+01,1.340000000000000036e+01
1.400000000000000000e+01,1.300000000000000000e+01
1.600000000000000000e+01,1.280000000000000071e+01
1.800000000000000000e+01,1.290000000000000036e+01
2.000000000000000000e+01,1.300000000000000000e+01
2.400000000000000000e+01,1.319999999999999929e+01
2.800000000000000000e+01,1.380000000000000071e+01
3.200000000000000000e+01,1.459999999999999964e+01
3.600000000000000000e+01,1.580000000000000071e+01
4.000000000000000000e+01,1.760000000000000142e+01
4.400000000000000000e+01,1.950000000000000000e+01
4.800000000000000000e+01,2.200000000000000000e+01
5.200000000000000000e+01,2.530000000000000071e+01
5.600000000000000000e+01,2.850000000000000000e+01
6.000000000000000000e+01,3.039999999999999858e+01
6.400000000000000000e+01,3.150000000000000000e+01
6.800000000000000000e+01,3.229999999999999716e+01
7.200000000000000000e+01,3.279999999999999716e+01
7.600000000000000000e+01,3.300000000000000000e+01
8.000000000000000000e+01,3.300000000000000000e+01
8.400000000000000000e+01,3.300000000000000000e+01
